data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
10001,COCC10818380,'202206262121531780938829,'202206262126291780945810,COCV_307,9000,2022-06-26 21:32:42.0,SHP,SHP,BO,pinzon.sara_m,
10002,COCC10818380,'202206262121531780938829,'202206262135271780963858,COCV_654,9000,2022-06-26 21:40:08.0,SHP,SHP,CNCL,bonilla.nydia_m,
10003,COCC10818384,'202206262124401780943407,'202206262129281780949205,COCV_262,9000,2022-06-26 21:50:11.0,SHP,SHP,null,null,
10004,COCC10818388,'202206262128071780947131,'202206262133271780961616,COCV_229,9000,2022-06-26 21:35:37.0,SHP,SHP,BO,buelvas.estefany_m,
10005,COCC10818396,'202206262132531780960471,'202206262259181781112943,COCV_578,9000,2022-06-27 02:42:49.0,SHP,SHP,null,null,
10006,COCC10818401,'202206262136301780965244,'202206262141151780975971,COCV_739,9000,2022-06-26 21:44:10.0,SHP,SHP,BO,prada.blancanineyi_m,
10007,COCC10818434,'202206262200281781008571,'202206262204521781016380,COCV_307,9000,2022-06-26 22:17:40.0,SHP,SHP,BO,pinzon.sara_m,
10008,COCC10818434,'202206262200281781008571,'202206262219301781040179,COCV_378,9000,2022-06-26 22:24:55.0,SHP,SHP,CNCL,duenas.oscar_m,
10009,COCC10818441,'202206262203561781015016,'202206262210211781026436,COCV_262,9000,2022-06-26 22:11:41.0,SHP,SHP,null,null,
10010,COCC10818449,'202206262208521781021749,'202206262218101781038537,COCV_428,9000,2022-06-26 23:31:35.0,SHP,SHP,null,bulla.diana_m,
10011,COCC10818458,'202206262214521781035481,'202206262221291781049000,COCV_447,9000,2022-06-26 22:42:11.0,SHP,SHP,null,null,
10012,COCC10818473,'202206262223531781052672,'202206262229291781060590,COCV_401,9000,2022-06-26 22:33:51.0,SHP,SHP,BO,quimbaya.argenis_m,
10013,COCC10818474,'202206262224121781053292,'202206262231261781069922,COCV_174,9000,2022-06-26 22:36:36.0,SHP,SHP,BO,morantes.luis_m,
10014,COCC10818487,'202206262234381781074904,'202206262240271781083115,COCV_307,9000,2022-06-26 22:53:56.0,SHP,SHP,BO,giraldo.claudia_m,
10015,COCC10818525,'202206262306221781124353,'202206262313241781137501,COCV_573,9000,2022-06-26 23:19:06.0,SHP,SHP,BO,calvo.gabriel_m,
10016,COCC10818541,'202206262314211781138726,'202206262322281781153925,COCV_181,9000,2022-06-26 23:27:57.0,SHP,SHP,BO,castano.styven_m,
10017,COCC10818544,'202206262317021781140847,'202206262322261781153759,COCV_229,9000,2022-06-26 23:25:23.0,SHP,SHP,BO,buelvas.estefany_m,
10018,COCC10818549,'202206262321281781152323,'202206262328271781161090,COCV_391,9000,2022-06-28 14:44:25.0,SHP,SHP,null,riano.heidy_m,
10019,COCC10818572,'202206262337281781176856,'202206262341271781186493,COCV_401,9000,2022-06-28 14:53:34.0,SHP,SHP,null,quimbaya.argenis_m,
10020,COCC10818574,'202206262339131781178569,'202206262343161781189279,COCV_845,9000,2022-06-27 00:04:12.0,SHP,SHP,null,null,
10021,COCC10818584,'202206262344141781190754,'202206262348271781193983,COCV_394,9000,2022-06-28 15:04:51.0,SHP,SHP,null,huertas.jose_m,
10022,COCC10818599,'202206262351431781202797,'202206270000281781213979,COCV_830,9000,2022-06-27 05:20:15.0,SHP,SHP,null,null,
10023,COCC10818618,'202206270004221781226056,'202206270034271781266049,COCV_155,9000,2022-06-27 00:43:29.0,SHP,SHP,BO,caicedo.adriana_m,
10024,COCC10818621,'202206270004401781226942,'202206270018091781244176,COCV_816,9000,2022-06-27 00:20:54.0,SHP,SHP,BO,florez.sirley_m,
10025,COCC10818633,'202206270013471781240798,'202206270018091781244203,COCV_155,9000,2022-06-27 00:28:52.0,SHP,SHP,BO,caicedo.adriana_m,
10026,COCC10818645,'202206270024211781254163,'202206270030271781260738,COCV_816,9000,2022-06-27 00:32:56.0,SHP,SHP,BO,florez.sirley_m,
10027,COCC10818657,'202206270035581781267194,'202206270042271781276808,COCV_155,9000,2022-06-27 00:50:45.0,SHP,SHP,BO,campos.martha_m,
10028,COCC10818664,'202206270043121781277369,'202206270054541781289758,COCV_229,9000,2022-06-27 00:59:27.0,SHP,SHP,BO,buelvas.estefany_m,
10029,COCC10818672,'202206270052551781288577,'202206270057071781291257,COCV_155,9000,2022-06-27 01:05:04.0,SHP,SHP,BO,campos.martha_m,
10030,COCC10818678,'202206270100131781294616,'202206270104301781301333,COCV_556,9000,2022-06-27 01:06:37.0,SHP,SHP,BO,londono.leidy_m,
10031,COCC10818692,'202206270113551781312011,'202206270119141781316055,COCV_816,9000,2022-06-27 01:21:50.0,SHP,SHP,BO,florez.sirley_m,
10032,COCC10818698,'202206270119181781316086,'202206270125261781324318,COCV_190,9000,2022-06-27 01:29:07.0,SHP,SHP,BO,bejarano.amparo_m,
10033,COCC10818704,'202206270127551781325742,'202206270132271781333668,COCV_405,9000,2022-06-28 15:30:30.0,SHP,SHP,null,contreras.juan_m,
10034,COCC10818705,'202206270128391781326215,'202206270135271781335641,COCV_816,9000,2022-06-27 01:50:12.0,SHP,SHP,BO,florez.sirley_m,
10035,COCC10818705,'202206270128391781326215,'202206270151521781354931,COCV_782,9000,2022-06-27 14:20:12.0,SHP,SHP,null,null,
10036,COCC10818711,'202206270130311781330102,'202206270136271781336226,COCV_556,9000,2022-06-27 01:57:14.0,SHP,SHP,null,null,
10037,COCC10818712,'202206270132211781333647,'202206270136281781336284,COCV_181,9000,2022-06-27 01:39:13.0,SHP,SHP,BO,castano.styven_m,
10038,COCC10818716,'202206270136111781336007,'202206270140271781340699,COCV_381,9000,2022-06-27 04:47:37.0,SHP,SHP,null,avila.leisy_m,
10039,COCC10818717,'202206270136201781336076,'202206270141281781343924,COCV_411,9000,2022-06-27 01:45:13.0,SHP,SHP,BO,aldana.luz_m,
10040,COCC10818721,'202206270138131781337184,'202206270143271781345262,COCV_573,9000,2022-06-27 01:48:17.0,SHP,SHP,BO,calvo.gabriel_m,
10041,COCC10818721,'202206270138131781337184,'202206270150281781351176,COCV_551,9000,2022-06-27 01:52:23.0,SHP,SHP,CNCL,barboza.orlando_m,
10042,COCC10818734,'202206270149511781348647,'202206270154121781356122,COCV_573,9000,2022-06-27 01:56:29.0,SHP,SHP,BO,sanchez.leidy_m,
10043,COCC10818769,'202206270227311781388633,'202206270234271781395930,COCV_545,9000,2022-06-27 02:37:18.0,SHP,SHP,BO,chavez.esneider_m,
10044,COCC10818773,'202206270235301781396555,'202206270240301781402469,COCV_885,9000,2022-06-27 02:44:13.0,SHP,SHP,null,pedraza.merlynrocio_m,
