data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
10039,COCC11247974,'202212252228452670910671,'202212252232582670918743,COCV_816,9000,2022-12-25 22:39:53.0,SHP,SHP,BO,salazar.claudia_m,
10040,COCC11247977,'202212252229382670911413,'202212252234582670920651,COCV_545,9000,2022-12-25 22:36:43.0,SHP,SHP,BO,briceno.nini_m,
10041,COCC11247977,'202212252229382670911413,'202212252238562670923127,COCV_156,9000,2022-12-26 14:48:03.0,SHP,SHP,null,huerfano.laura_m,
10042,COCC11247987,'202212252236562670922054,'202212252246222670936175,COCV_90,9000,2022-12-25 23:06:23.0,SHP,SHP,null,null,
10043,COCC11247989,'202212252238002670922585,'202212252240542670930640,COCV_621,9000,2022-12-25 22:45:11.0,SHP,SHP,BO,martinez.maria_m,
10044,COCC11248000,'202212252242502670932096,'202212252246232670936262,COCV_621,9000,2022-12-25 22:53:38.0,SHP,SHP,BO,gomez.luis_m,
10045,COCC11248000,'202212252242502670932096,'202212252255212670948723,COCV_220,9000,2022-12-25 22:58:20.0,SHP,SHP,CNCL,valencia.elsa_m,
10046,COCC11248000,'202212252242502670932096,'202212252327542670991250,COCV_279,9000,2022-12-25 23:35:58.0,SHP,SHP,CNCL,giraldo.german_m,
10047,COCC11248025,'202212252259412670951743,'202212252304202670961780,COCV_402,9000,2022-12-25 23:24:23.0,SHP,SHP,null,null,
10048,COCC11248041,'202212252306122670963125,'202212252310122670967714,COCV_411,9000,2022-12-26 16:29:29.0,SHP,SHP,null,ramirez.yaira_m,
10049,COCC11248058,'202212252312062670974829,'202212252318072670978498,COCV_181,9000,2022-12-25 23:19:05.0,SHP,SHP,BO,castano.styven_m,
10050,COCC11248058,'202212252312062670974829,'202212252319592670980051,COCV_825,9000,2022-12-25 23:22:04.0,SHP,SHP,CNCL,beltran.jessica_m,
10051,COCC11248058,'202212252312062670974829,'202212252325592670990396,COCV_101,9000,2022-12-25 23:30:52.0,SHP,SHP,CNCL,ramos.nubia_m,
10052,COCC11248070,'202212252321062670986596,'202212252326002670990410,COCV_190,9000,2022-12-25 23:37:03.0,SHP,SHP,null,parra.angi_m,
10053,COCC11248087,'202212252333352671000480,'202212252345352671016221,COCV_545,9000,2022-12-25 23:49:18.0,SHP,SHP,BO,briceno.nini_m,
10054,COCC11248088,'202212252334262671001717,'202212252339542671005706,COCV_262,9000,2022-12-26 02:10:32.0,SHP,SHP,null,aguilar.maria_m,
10055,COCC11248180,'202212260021172671073991,'202212260025012671077099,COCV_155,9000,2022-12-26 00:26:56.0,SHP,SHP,BO,guevara.nataly_m,
10056,COCC11248195,'202212260028562671079443,'202212260032562671087854,COCV_578,9000,2022-12-26 13:20:17.0,SHP,SHP,null,null,
10057,COCC11248215,'202212260041292671100863,'202212260044532671104849,COCV_76,9000,2022-12-26 00:51:59.0,SHP,SHP,BO,morales.daniel_m,
10058,COCC11248222,'202212260045052671104985,'202212260048202671107060,COCV_155,9000,2022-12-26 01:13:05.0,SHP,SHP,null,guevara.nataly_m,
10059,COCC11248241,'202212260057222671118826,'202212260103202671128997,COCV_181,9000,2022-12-26 01:03:56.0,SHP,SHP,BO,castano.styven_m,
10060,COCC11248247,'202212260102242671128420,'202212260110162671137555,COCV_411,9000,2022-12-26 14:20:36.0,SHP,SHP,null,ramirez.yaira_m,
10061,COCC11248253,'202212260105442671132160,'202212260112092671143906,COCV_190,9000,2022-12-26 04:02:28.0,SHP,SHP,null,parra.angi_m,
10062,COCC11248256,'202212260108472671134843,'202212261205202673452997,COCV_181,9000,2022-12-26 12:25:23.0,SHP,SHP,null,null,
10063,COCC11248256,'202212260108472671134843,'202212261229062673501030,COCV_545,9000,2022-12-26 12:34:58.0,SHP,SHP,CNCL,estupinan.sandra_m,
10064,COCC11248262,'202212260111112671143645,'202212260114092671145314,COCV_181,9000,2022-12-26 01:14:55.0,SHP,SHP,BO,castano.styven_m,
10065,COCC11248267,'202212260114272671145739,'202212260120062671151456,COCV_545,9000,2022-12-26 01:23:15.0,SHP,SHP,BO,chavez.esneider_m,
10066,COCC11248275,'202212260119182671149786,'202212260123592671159885,COCV_190,9000,2022-12-26 14:28:12.0,SHP,SHP,null,maestre.deisy_m,
10067,COCC11248281,'202212260122542671159108,'202212260127552671162445,COCV_155,9000,2022-12-26 14:33:57.0,SHP,SHP,null,guevara.nataly_m,
10068,COCC11248287,'202212260126242671161330,'202212260129522671163953,COCV_101,9000,2022-12-26 01:40:35.0,SHP,SHP,null,ramos.nubia_m,
10069,COCC11248295,'202212260128112671162888,'202212260131502671171007,COCV_181,9000,2022-12-26 01:32:05.0,SHP,SHP,BO,villa.carlos_m,
10070,COCC11248297,'202212260129212671163585,'202212260136002671174429,COCV_181,9000,2022-12-26 01:38:14.0,SHP,SHP,BO,villa.carlos_m,
10071,COCC11248301,'202212260131242671170610,'202212260136002671174409,COCV_181,9000,2022-12-26 01:38:23.0,SHP,SHP,BO,villa.carlos_m,
10072,COCC11248303,'202212260131482671170885,'202212260139552671177039,COCV_181,9000,2022-12-26 01:41:16.0,SHP,SHP,BO,villa.carlos_m,
10073,COCC11248320,'202212260142452671184314,'202212260145502671186868,COCV_551,9000,2022-12-26 13:48:59.0,SHP,SHP,null,saavedra.rodney_m,
10074,COCC11248328,'202212260146132671187121,'202212260149212671189464,COCV_551,9000,2022-12-26 01:57:24.0,SHP,SHP,BO,saavedra.rodney_m,
10075,COCC11248333,'202212260149002671189196,'202212260154202671199281,COCV_174,9000,2022-12-26 02:14:26.0,SHP,SHP,null,null,
10076,COCC11248342,'202212260152532671198168,'202212260202202671209996,COCV_181,9000,2022-12-26 02:22:26.0,SHP,SHP,null,null,
10077,COCC11248342,'202212260152532671198168,'202212260225002671236966,COCV_551,9000,2022-12-26 11:53:41.0,SHP,SHP,null,saavedra.rodney_m,
10078,COCC11248346,'202212260156192671200404,'202212260213042671222465,COCV_545,9000,2022-12-26 02:17:47.0,SHP,SHP,BO,chavez.esneider_m,
10079,COCC11248346,'202212260156192671200404,'202212260219082671227105,COCV_181,9000,2022-12-26 02:39:26.0,SHP,SHP,null,null,
10080,COCC11248354,'202212260200252671205875,'202212260205212671212133,COCV_190,9000,2022-12-26 02:06:32.0,SHP,SHP,BO,parra.angi_m,
10081,COCC11248354,'202212260200252671205875,'202212260209112671214151,COCV_155,9000,2022-12-26 02:14:33.0,SHP,SHP,CNCL,guevara.nataly_m,
10082,COCC11248363,'202212260207092671212783,'202212260211172671221741,COCV_621,9000,2022-12-26 02:14:25.0,SHP,SHP,BO,martinez.maria_m,
10083,COCC11248364,'202212260209492671214693,'202212260215062671224352,COCV_181,9000,2022-12-26 02:35:26.0,SHP,SHP,null,null,
10084,COCC11248364,'202212260209492671214693,'202212260238552671251956,COCV_101,9000,2022-12-26 03:18:57.0,SHP,SHP,null,ramos.nubia_m,
10085,COCC11248365,'202212260210012671214836,'202212260213042671222444,COCV_411,9000,2022-12-26 13:32:55.0,SHP,SHP,null,arenas.jenny_m,
10086,COCC11248370,'202212260213002671222387,'202212260219072671227040,COCV_155,9000,2022-12-26 02:24:40.0,SHP,SHP,BO,lievano.sindy_m,
10087,COCC11248370,'202212260213002671222387,'202212260227002671238321,COCV_190,9000,2022-12-26 02:47:27.0,SHP,SHP,null,null,
10088,COCC11248370,'202212260213002671222387,'202212260250202671265522,COCV_181,9000,2022-12-26 03:10:27.0,SHP,SHP,null,null,
10089,COCC11248373,'202212260214372671224128,'202212260221112671234498,COCV_155,9000,2022-12-26 02:31:23.0,SHP,SHP,BO,lievano.sindy_m,
10090,COCC11248373,'202212260214372671224128,'202212260232502671248446,COCV_190,9000,2022-12-26 02:53:27.0,SHP,SHP,null,null,
10091,COCC11248386,'202212260222312671235197,'202212260227012671238422,COCV_545,9000,2022-12-26 02:31:10.0,SHP,SHP,BO,chavez.esneider_m,
10092,COCC11248388,'202212260224362671236678,'202212260236522671251044,COCV_181,9000,2022-12-26 02:57:34.0,SHP,SHP,null,null,
10093,COCC11248388,'202212260224362671236678,'202212260300202671277490,COCV_190,9000,2022-12-26 03:20:27.0,SHP,SHP,null,null,
10094,COCC11248396,'202212260229512671240517,'202212260236522671251019,COCV_545,9000,2022-12-26 15:10:19.0,SHP,SHP,null,chavez.esneider_m,
10095,COCC11248402,'202212260238152671251610,'202212260254202671271905,COCV_549,9000,2022-12-26 03:01:37.0,SHP,SHP,BO,garcia.leidy_m,
10096,COCC11248402,'202212260238152671251610,'202212260303202671283301,COCV_181,9000,2022-12-26 03:23:26.0,SHP,SHP,null,null,
10097,COCC11248407,'202212260247222671262524,'202212260250212671265658,COCV_381,9000,2022-12-26 15:14:48.0,SHP,SHP,null,gonzalez.luisa_m,
10098,COCC11248415,'202212260250542671269571,'202212260254212671271957,COCV_181,9000,2022-12-26 03:14:26.0,SHP,SHP,null,null,
10099,COCC11248424,'202212260303092671283231,'202212260310102671287904,COCV_181,9000,2022-12-26 03:30:27.0,SHP,SHP,null,null,
10100,COCC11248424,'202212260303092671283231,'202212260333492671311545,COCV_545,9000,2022-12-26 03:34:50.0,SHP,SHP,CNCL,briceno.nini_m,
10101,COCC11248430,'202212260310592671292869,'202212260316052671294952,COCV_181,9000,2022-12-26 03:36:26.0,SHP,SHP,null,null,
10102,COCC11248430,'202212260310592671292869,'202212260339542671313132,COCV_190,9000,2022-12-26 04:00:27.0,SHP,SHP,null,null,
10103,COCC11248433,'202212260316142671295025,'202212260322052671301682,COCV_181,9000,2022-12-26 03:42:26.0,SHP,SHP,null,null,
10104,COCC11248435,'202212260321242671301398,'202212260327592671304365,COCV_545,9000,2022-12-26 03:30:15.0,SHP,SHP,BO,briceno.nini_m,
10105,COCC11248435,'202212260321242671301398,'202212260331532671310519,COCV_181,9000,2022-12-26 03:52:26.0,SHP,SHP,null,null,
10106,COCC11248447,'202212260340152671314478,'202212260347502671322574,COCV_551,9000,2022-12-26 05:38:25.0,SHP,SHP,null,saavedra.rodney_m,
10107,COCC11248459,'202212260423192671354836,'202212260427002671356085,COCV_181,9000,2022-12-26 04:47:27.0,SHP,SHP,null,null,
10108,COCC11248459,'202212260423192671354836,'202212260547532671398499,COCV_545,9000,2022-12-26 20:07:57.0,SHP,SHP,null,chavez.esneider_m,
10109,COCC11248465,'202212260451452671376351,'202212260456202671377768,COCV_181,9000,2022-12-26 05:16:26.0,SHP,SHP,null,null,
