data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
39,CO11353353,'202212010151412502228480,'202212010153082502235921,COCV_739,9000,2022-12-01 01:56:34.0,PICK,PICK,BO,medina.johanna_m,
40,CO11353355,'202212010148382502204721,'202212010150072502213905,COCV_101,9000,2022-12-01 02:19:52.0,SHP,SHP,null,paez.monica_m,
41,CO11353384,'202212010153452502239614,'202212010155102502248169,COCV_660,9000,2022-12-01 01:58:34.0,SHP,SHP,BO,obando.maribel_m,
42,CO11353406,'202212010203422502304521,'202212010205102502312893,COCV_181,9000,2022-12-01 02:07:26.0,SHP,SHP,null,quilindo.heider_m,
43,CO11353416,'202212010208352502331960,'202212010210062502341815,COCV_190,9000,2022-12-01 02:17:28.0,SHP,SHP,null,ulloa.estephany_m,
44,CO11353453,'202212010216462502382706,'202212010219032502396556,COCV_885,9000,2022-12-01 02:39:30.0,SHP,SHP,null,null,
45,CO11353455,'202212010218432502393581,'202212010220232502407358,COCV_174,9000,2022-12-01 02:26:25.0,SHP,SHP,BO,salazar.marly_m,
46,CO11353465,'202212010223452502430672,'202212010225132502439563,COCV_155,9000,2022-12-01 03:04:12.0,SHP,SHP,BO,sandoval.isabel_m,
47,CO11353471,'202212010223452502430614,'202212010225112502439159,COCV_155,9000,2022-12-01 02:43:15.0,SHP,SHP,BO,sandoval.isabel_m,
48,CO11353486,'202212010203422502304540,'202212010205112502313095,COCV_181,9000,2022-12-01 02:06:02.0,SHP,SHP,BO,quilindo.heider_m,
49,CO11353490,'202212010206432502321771,'202212010208092502329655,COCV_392,9000,2022-12-01 02:08:56.0,SHP,SHP,BO,rojas.nicolas_m,
50,CO11353494,'202212010206432502321734,'202212010208102502329824,COCV_545,9000,2022-12-01 02:10:13.0,SHP,SHP,BO,chavez.esneider_m,
51,CO11353494,'202212010206432502321734,'202212010212072502358857,COCV_643,9000,2022-12-01 12:20:24.0,SHP,SHP,null,null,
52,CO11353501,'202212010213422502367231,'202212010215102502375244,COCV_101,9000,2022-12-01 02:16:28.0,SHP,SHP,BO,paez.monica_m,
53,CO11353509,'202212010216462502382664,'202212010219022502396339,COCV_885,9000,2022-12-01 02:39:29.0,SHP,SHP,null,null,
54,CO11353511,'202212010223462502430747,'202212010225142502439778,COCV_739,9000,2022-12-01 12:11:16.0,SHP,SHP,BO,bravo.sara_m,
55,CO11353516,'202212010216472502382800,'202212010219052502396916,COCV_551,9000,2022-12-01 02:21:01.0,SHP,SHP,BO,bautista.maria_m,
56,CO11353526,'202212010218432502393503,'202212010220212502406558,COCV_545,9000,2022-12-01 02:26:47.0,SHP,SHP,BO,chavez.esneider_m,
57,CO11353579,'202212010246452502568220,'202212010248092502576582,COCV_549,9000,2022-12-01 02:52:27.0,SHP,SHP,BO,acosta.ismael_m,
58,CO11353580,'202212010243442502551153,'202212010245112502559960,COCV_174,9000,2022-12-01 02:47:43.0,SHP,SHP,BO,monsalve.silvia_m,
59,CO11353587,'202212010233432502491066,'202212010235102502498854,COCV_155,9000,2022-12-01 02:46:58.0,SHP,SHP,BO,sandoval.isabel_m,
60,CO11353605,'202212010241432502540125,'202212010243092502547283,COCV_545,9000,2022-12-01 02:46:38.0,SHP,SHP,BO,chavez.esneider_m,
61,CO11353605,'202212010241432502540125,'202212010248072502576237,COCV_392,9000,2022-12-01 12:05:22.0,SHP,SHP,CNCL,vera.maria_m,
62,CO11353644,'202212010258412502637634,'202212010300112502648799,COCV_381,9000,2022-12-01 03:03:09.0,SHP,SHP,BO,avila.leisy_m,
63,CO11353651,'202212010301452502661165,'202212010303102502668330,COCV_545,9000,2022-12-01 03:08:56.0,SHP,SHP,BO,chavez.esneider_m,
64,CO11353655,'202212010306472502687466,'202212010308102502694877,COCV_378,9000,2022-12-01 12:00:45.0,SHP,SHP,BO,fandino.leidy_m,
65,CO11353660,'202212010306462502687393,'202212010308082502694624,COCV_190,9000,2022-12-01 17:37:47.0,SHP,SHP,null,rodriguez.yudy_m,
66,CO11353674,'202212010313442502727741,'202212010315072502735004,COCV_391,9000,2022-12-01 03:19:07.0,SHP,SHP,BO,galvis.heydi_m,
67,CO11353674,'202212010313442502727741,'202212010321182502770105,COCV_874,9000,2022-12-01 13:11:42.0,SHP,SHP,CNCL,cardozoe.daniela_m,
68,CO11353680,'202212010321422502772216,'202212010323492502781314,COCV_545,9000,2022-12-01 03:24:59.0,SHP,SHP,BO,chavez.esneider_m,
69,CO11353689,'202212010253392502611231,'202212010255092502618480,COCV_696,9000,2022-12-02 16:36:32.0,SHP,SHP,null,osorno.laura_m,
70,CO11353696,'202212010301452502661232,'202212010303112502668558,COCV_885,9000,2022-12-01 03:11:26.0,SHP,SHP,BO,rolong.bleidys_m,
71,CO11353721,'202212010311442502718007,'202212010313082502725019,COCV_545,9000,2022-12-01 03:14:53.0,SHP,SHP,BO,chavez.esneider_m,
72,CO11353730,'202212010316352502741845,'202212010318072502748743,COCV_545,9000,2022-12-01 03:24:02.0,SHP,SHP,BO,chavez.esneider_m,
73,CO11353737,'202212010321422502772250,'202212010323512502781465,COCV_545,9000,2022-12-01 03:27:27.0,SHP,SHP,BO,chavez.esneider_m,
74,CO11353778,'202212010348372502908451,'202212010350072502916295,COCV_21,9000,2022-12-01 12:10:20.0,SHP,SHP,BO,diaz.john_m,
75,CO11353784,'202212010323432502780628,'202212010325112502788268,COCV_596,9000,2022-12-01 13:20:18.0,SHP,SHP,null,null,
76,CO11353795,'202212010326472502797913,'202212010327492502803863,COCV_220,9000,2022-12-01 03:40:36.0,SHP,SHP,BO,herrera.mariana_m,
77,CO11353803,'202212010333422502835588,'202212010335082502842207,COCV_220,9000,2022-12-01 03:40:54.0,SHP,SHP,BO,herrera.mariana_m,
78,CO11353803,'202212010333422502835588,'202212010342082502879224,COCV_621,9000,2022-12-01 03:52:33.0,SHP,SHP,BO,jimenez.maira_m,
79,CO11353806,'202212010336422502848932,'202212010337342502853154,COCV_155,9000,2022-12-01 03:45:19.0,SHP,SHP,BO,lievano.sindy_m,
80,CO11353820,'202212010343442502886479,'202212010345102502893111,COCV_155,9000,2022-12-01 03:55:21.0,SHP,SHP,BO,lievano.sindy_m,
81,CO11353828,'202212010351412502928655,'202212010353072502934937,COCV_181,9000,2022-12-01 03:58:26.0,SHP,SHP,BO,quilindo.heider_m,
82,CO11353831,'202212010403432502985911,'202212010405092502992470,COCV_156,9000,2022-12-01 12:07:10.0,SHP,SHP,BO,nieto.angie_m,
83,CO11353831,'202212010403432502985911,'202212011209062505620453,COCV_549,9000,2022-12-01 12:10:07.0,SHP,SHP,CNCL,nino.claudia_m,
84,CO11353831,'202212010403432502985911,'202212011339202506240051,COCV_825,9000,2022-12-01 13:41:57.0,SHP,SHP,CNCL,ruiz.alexander_m,
85,CO11353863,'202212010426412503096184,'202212010428422503104868,COCV_643,9000,2022-12-01 12:20:32.0,SHP,SHP,null,null,
86,CO11353863,'202212010426412503096184,'202212011223072505720513,COCV_262,9000,2022-12-01 13:22:39.0,SHP,SHP,CNCL,diaz.laura_m,
87,CO11353876,'202212010443442503175994,'202212010445092503182432,COCV_101,9000,2022-12-01 04:48:17.0,SHP,SHP,BO,gamboa.shannon_m,
88,CO11353883,'202212010353412502937431,'202212010355082502944249,COCV_468,9000,2022-12-01 11:46:39.0,SHP,SHP,BO,leguizamon.yiseth_m,
