data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
40,CO11406515,'202301011618342703527106,'202301011621012703534395,COCV_556,9000,2023-01-01 16:23:15.0,SHP,SHP,BO,cadavid.nicolas_m,
41,CO11406534,'202301011703342703588947,'202301011706052703590352,COCV_881,9000,2023-01-01 17:07:00.0,SHP,SHP,BO,medina.natalia_m,
42,CO11406535,'202301011708312703592036,'202301011710002703592884,COCV_411,9000,2023-01-01 17:15:04.0,SHP,SHP,BO,tapias.jenny_m,
43,CO11406542,'202301011723352703612637,'202301011726012703614033,COCV_155,9000,2023-01-01 17:29:50.0,SHP,SHP,BO,obando.mayra_m,
44,CO11406544,'202301011736312703627079,'202301011738242703627919,COCV_551,9000,2023-01-01 17:42:26.0,SHP,SHP,BO,restrepo.maria_m,
45,CO11406546,'202301011753372703648475,'202301011755312703650285,COCV_885,9000,2023-01-01 18:00:51.0,SHP,SHP,BO,tavina.mayra_m,
46,CO11406548,'202301011803352703660444,'202301011805082703661498,COCV_885,9000,2023-01-01 18:07:49.0,SHP,SHP,BO,tavina.mayra_m,
47,CO11406551,'202301011801322703659303,'202301011803052703660007,COCV_696,9000,2023-01-01 18:06:14.0,SHP,SHP,BO,martinez.marly_m,
48,CO11406562,'202301011853312703717969,'202301011855242703719281,COCV_782,9000,2023-01-01 19:15:24.0,SHP,SHP,null,null,
49,CO11406583,'202301011726352703614329,'202301011727542703615038,COCV_156,9000,2023-01-01 17:48:23.0,SHP,SHP,null,null,
50,CO11406602,'202301011813352703673203,'202301011815042703674218,COCV_885,9000,2023-01-01 18:16:16.0,SHP,SHP,BO,tavina.mayra_m,
