data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
180001,CO11202017,'202208272156392034091806,3700.2000,2022-08-27 23:12:12.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202208272158412034094919,MU,COCV_545,ruiz.alexander_m,
180002,CO11202020,'202208272156392034091765,3350.1000,2022-08-27 21:58:41.0,DifarmaConsolidateToShipmentAgentServer,salgado.cesar_m,'202208272158402034094845,MU,COCV_873,salgado.cesar_m,
180003,CO11202020,'202208272156392034091765,3350.1500,2022-08-27 22:04:56.0,salgado.cesar_m,salgado.cesar_m,'202208272158402034094845,MU,COCV_873,salgado.cesar_m,
180004,CO11202020,'202208272156392034091765,3350.1500.1000,2022-08-27 22:04:56.0,salgado.cesar_m,salgado.cesar_m,'202208272158402034094845,MU,COCV_873,salgado.cesar_m,
180005,CO11202020,'202208272156392034091765,3700.1000,2022-08-27 22:15:08.0,salgado.cesar_m,OMSRESTAPIUSER,'202208272158402034094845,MU,COCV_873,salgado.cesar_m,
180006,CO11202020,'202208272156392034091765,3700.2000,2022-08-27 23:33:57.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202208272158402034094845,MU,COCV_873,salgado.cesar_m,
180007,CO11202022,'202208272156382034091759,1400,2022-08-27 22:05:13.0,saavedra.bertha_m,saavedra.bertha_m,'202208272158402034094812,MU,COCV_155,saavedra.bertha_m,
180008,CO11202022,'202208272156382034091759,1400,2022-08-27 22:05:13.0,saavedra.bertha_m,saavedra.bertha_m,'202208272206502034113540,MU,COCV_190,ulloa.estephany_m,
180009,CO11202022,'202208272156382034091759,3350.1000,2022-08-27 21:58:40.0,DifarmaConsolidateToShipmentAgentServer,saavedra.bertha_m,'202208272158402034094812,MU,COCV_155,saavedra.bertha_m,
180010,CO11202022,'202208272156382034091759,3350.1000,2022-08-27 21:58:40.0,DifarmaConsolidateToShipmentAgentServer,saavedra.bertha_m,'202208272206502034113540,MU,COCV_190,ulloa.estephany_m,
