data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
80001,CO11019196,'202205122001351593586379,3350.1500,2022-05-12 20:04:53.0,vera.maria_m,vera.maria_m,'202205122004271593591443,MU,COCV_392,vera.maria_m,
80002,CO11019196,'202205122001351593586379,3350.1500.1000,2022-05-12 20:05:01.0,vera.maria_m,vera.maria_m,'202205122004271593591443,MU,COCV_392,vera.maria_m,
80003,CO11019196,'202205122001351593586379,3700.1000,2022-05-12 20:10:08.0,vera.maria_m,OMSRESTAPIUSER,'202205122004271593591443,MU,COCV_392,vera.maria_m,
80004,CO11019196,'202205122001351593586379,3700.2000,2022-05-12 20:25:18.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205122004271593591443,MU,COCV_392,vera.maria_m,
80005,CO11019197,'202205122006361593598382,3350.1000,2022-05-12 20:08:57.0,DifarmaConsolidateToShipmentAgentServer,grajales.kenly_m,'202205122008561593606340,MU,COCV_643,grajales.kenly_m,
80006,CO11019197,'202205122006361593598382,3350.1500,2022-05-12 20:12:18.0,grajales.kenly_m,grajales.kenly_m,'202205122008561593606340,MU,COCV_643,grajales.kenly_m,
80007,CO11019197,'202205122006361593598382,3350.1500.1000,2022-05-12 20:12:19.0,grajales.kenly_m,grajales.kenly_m,'202205122008561593606340,MU,COCV_643,grajales.kenly_m,
80008,CO11019197,'202205122006361593598382,3700.1000,2022-05-12 20:39:42.0,grajales.kenly_m,OMSRESTAPIUSER,'202205122008561593606340,MU,COCV_643,grajales.kenly_m,
80009,CO11019197,'202205122006361593598382,3700.2000,2022-05-12 20:51:41.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205122008561593606340,MU,COCV_643,grajales.kenly_m,
80010,CO11019198,'202205122006361593598393,3350.1000,2022-05-12 20:08:56.0,DifarmaConsolidateToShipmentAgentServer,ospina.cindy_m,'202205122008561593606314,MU,COCV_881,ospina.cindy_m,
80011,CO11019198,'202205122006361593598393,3350.1500,2022-05-12 20:10:21.0,ospina.cindy_m,ospina.cindy_m,'202205122008561593606314,MU,COCV_881,ospina.cindy_m,
80012,CO11019198,'202205122006361593598393,3350.1500.1000,2022-05-12 20:10:22.0,ospina.cindy_m,ospina.cindy_m,'202205122008561593606314,MU,COCV_881,ospina.cindy_m,
80013,CO11019198,'202205122006361593598393,3700.1000,2022-05-12 20:25:40.0,ospina.cindy_m,OMSRESTAPIUSER,'202205122008561593606314,MU,COCV_881,ospina.cindy_m,
80014,CO11019198,'202205122006361593598393,3700.2000,2022-05-12 20:27:48.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202205122008561593606314,MU,COCV_881,ospina.cindy_m,
80015,CO11019199,'202205122008341593605201,3350.1000,2022-05-12 20:10:35.0,DifarmaConsolidateToShipmentAgentServer,ortiz.rayza_m,'202205122010351593614500,MU,COCV_171,ortiz.rayza_m,
