data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
13170,CO11257384,1600.002.01,2022-10-03 22:39:17.0,null,'202210032138422194790018,Y,
13171,CO11257384,1600.002.01,2022-10-03 22:39:17.0,null,'202210032138422194790018,Y,
13172,CO11257286,1600.002.01,2022-10-04 21:20:34.0,null,'202210032138422194790074,Y,
13173,CO11257286,1600.002.01,2022-10-04 21:20:34.0,null,'202210032138422194790074,Y,
13174,CO11257383,1600.002.01,2022-10-04 00:23:31.0,null,'202210032138422194789983,N,
13175,CO11257382,1600.002.01,2022-10-03 22:13:00.0,null,'202210032138422194790132,Y,
13176,CO11257381,9000,2022-10-03 21:43:03.0,null,'202210032138432194790169,Y,
13177,COCC11031789,1600.002.01,2022-10-03 22:16:40.0,null,'202210032144072194825601,N,
13178,COCC11031790,1600.002.01,2022-10-03 23:07:36.0,null,'202210032140252194804058,Y,
13179,COCC11031791,1600.002.01,2022-10-03 23:57:04.0,null,'202210032149062194857896,Y,
13180,COCC11031791,1600.002.01,2022-10-03 23:57:04.0,null,'202210032149062194857896,Y,
13181,CO11257289,1600.002.01,2022-10-04 01:23:27.0,null,'202210032140242194803895,Y,
13182,CO11257289,1600.002.01,2022-10-04 01:23:27.0,null,'202210032140242194803895,Y,
13183,CO11257289,1600.002.01,2022-10-04 01:23:27.0,null,'202210032140242194803895,Y,
13184,CO11257387,1600.002.01,2022-10-03 22:01:43.0,null,'202210032140252194803989,N,
13185,CO11257386,1600.002.01,2022-10-03 22:37:59.0,null,'202210032140242194803832,Y,
13186,CO11257386,1600.002.01,2022-10-03 22:37:59.0,null,'202210032140242194803832,Y,
13187,CO11257386,1600.002.01,2022-10-03 22:37:59.0,null,'202210032140242194803832,Y,
13188,CO11257285,1600.002.01,2022-10-03 22:42:47.0,null,'202210032140252194804020,N,
13189,CO11257285,1600.002.01,2022-10-03 22:42:47.0,null,'202210032140252194804020,N,
13190,COCC11031792,1600.002.01,2022-10-03 22:26:37.0,null,'202210032145062194833171,Y,
13191,COCC11031792,1600.002.01,2022-10-03 22:26:37.0,null,'202210032145062194833171,Y,
13192,COCC11031792,1600.002.01,2022-10-03 22:26:37.0,null,'202210032145062194833171,Y,
13193,COCC11031793,1600.002.01,2022-10-03 23:11:49.0,null,'202210032142062194815561,N,
13194,COCC11031793,1600.002.01,2022-10-03 23:11:49.0,null,'202210032142062194815561,N,
13195,COCC11031794,1600.002.01,2022-10-03 22:38:15.0,null,'202210032144072194825647,Y,
13196,COCC11031794,1600.002.01,2022-10-03 22:38:15.0,null,'202210032144072194825647,Y,
13197,COCC11031796,1600.002.01,2022-10-03 22:23:07.0,null,'202210032148072194854272,Y,
13198,COCC11031796,1600.002.01,2022-10-03 22:23:07.0,null,'202210032148072194854272,Y,
13199,COCC11031797,1600.002.01,2022-10-04 01:55:03.0,null,'202210032146082194841883,Y,
13200,COCC11031799,1600.002.01,2022-10-04 14:15:56.0,null,'202210032144062194825554,N,
13201,COCC11031800,1600.002.01,2022-10-03 22:49:30.0,null,'202210032156022194898192,N,
13202,COCC11031801,1600.002.01,2022-10-03 22:20:27.0,null,'202210032150062194862492,Y,
13203,COCC11031801,1600.002.01,2022-10-03 22:20:27.0,null,'202210032150062194862492,Y,
13204,COCC11031802,1600.002.01,2022-10-03 22:20:04.0,null,'202210032146202194844357,Y,
13205,COCC11031803,1600.002.01,2022-10-04 02:13:00.0,null,'202210032203582194949152,Y,
13206,COCC11031803,1600.002.01,2022-10-04 02:13:00.0,null,'202210032203582194949152,Y,
13207,COCC11031804,1600.002.01,2022-10-03 22:28:36.0,null,'202210032149062194857942,Y,
13208,COCC11031804,1600.002.01,2022-10-03 22:28:36.0,null,'202210032149062194857942,Y,
13209,COCC11031804,1600.002.01,2022-10-03 22:28:36.0,null,'202210032149062194857942,Y,
13210,COCC11031805,1600.002.01,2022-10-03 22:09:27.0,null,'202210032146202194844573,Y,
13211,CO11257294,1600.002.01,2022-10-03 22:08:16.0,null,'202210032145072194833568,Y,
13212,CO11257293,1600.002.01,2022-10-04 12:58:37.0,null,'202210032145072194833680,Y,
13213,CO11257293,1600.002.01,2022-10-04 12:58:37.0,null,'202210032145072194833680,Y,
13214,CO11257291,1600.002,2022-10-03 23:12:56.0,null,'202210032145082194833747,N,
13215,CO11257290,1600.002.01,2022-10-03 23:04:04.0,null,'202210032145082194833862,Y,
13216,CO11257290,1600.002.01,2022-10-03 23:04:04.0,null,'202210032145082194833862,Y,
13217,CO11257391,1600.002.01,2022-10-03 21:55:05.0,null,'202210032145082194833828,Y,
13218,CO11257389,1600.002.01,2022-10-03 23:34:41.0,null,'202210032145092194833961,Y,
13219,CO11257389,1600.002.01,2022-10-03 23:34:41.0,null,'202210032145092194833961,Y,
13220,CO11257388,1600.002.01,2022-10-03 22:41:10.0,null,'202210032145102194834092,Y,
13221,CO11257388,1600.002.01,2022-10-03 22:41:10.0,null,'202210032145102194834092,Y,
13222,CO11257388,1600.002.01,2022-10-03 22:41:10.0,null,'202210032145102194834092,Y,
13223,COCC11031809,1600.002.01,2022-10-03 22:26:04.0,null,'202210032148072194854201,Y,
13224,COCC11031810,1600.002.01,2022-10-03 23:58:16.0,null,'202210032152092194878246,Y,
13225,COCC11031811,1600.002.01,2022-10-03 23:17:11.0,null,'202210032149072194858112,Y,
13226,COCC11031812,1600.002.01,2022-10-03 22:42:01.0,null,'202210032148082194854452,Y,
