data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
9270,CO11408735,1600.002.01,2023-01-03 18:51:17.0,null,'202301031439472711102279,Y,
9271,CO11408735,1600.002.01,2023-01-03 18:51:17.0,null,'202301031439472711102279,Y,
9272,COCC11266850,1600.002.01,2023-01-03 16:30:40.0,null,'202301031443182711116382,Y,
9273,Y100134170,1600,2023-01-03 15:39:26.0,null,'202301031440162711104904,N,
9274,Y100134170,1600,2023-01-03 15:39:26.0,null,'202301031440162711104904,N,
9275,COCC11266854,1600.002.01,2023-01-03 15:25:21.0,null,'202301031445152711123150,Y,
9276,COCC11266854,1600.002.01,2023-01-03 15:25:21.0,null,'202301031445152711123150,Y,
9277,COCC11266856,1600.002.01,2023-01-03 15:47:19.0,null,'202301031447152711127489,Y,
9278,COCC11266856,1600.002.01,2023-01-03 15:47:19.0,null,'202301031447152711127489,Y,
9279,COCC11266856,1600.002.01,2023-01-03 15:47:19.0,null,'202301031447152711127489,Y,
9280,COCC11266856,1600.002.01,2023-01-03 15:47:19.0,null,'202301031447152711127489,Y,
9281,CO11408667,1100.70.06.30,2023-01-03 14:45:09.0,null,'202301031443192711116407,N,
9282,CO11408736,1600.002.01,2023-01-03 16:29:24.0,null,'202301031443192711116432,Y,
9283,CO11408666,1600.002.01,2023-01-03 15:38:19.0,null,'202301031443192711116459,Y,
9284,COCC11266857,1600.002.01,2023-01-03 16:48:15.0,null,'202301031447142711127469,Y,
9285,COCC11266858,1600.002.01,2023-01-03 15:49:39.0,null,'202301031447152711127532,Y,
9286,COCC11266859,1600.002.01,2023-01-03 16:35:35.0,null,'202301031447162711127615,N,
9287,COCC11266859,1600.002.01,2023-01-03 16:35:35.0,null,'202301031447162711127615,N,
9288,COCC11266860,1600.002.01,2023-01-03 17:22:05.0,null,'202301031447152711127558,Y,
9289,COCC11266862,1600.002.01,2023-01-03 16:29:00.0,null,'202301031447172711127642,Y,
9290,COCC11266862,1600.002.01,2023-01-03 16:29:00.0,null,'202301031447172711127642,Y,
9291,COCC11266864,1600.002.01,2023-01-03 15:08:08.0,null,'202301031447162711127594,Y,
9292,COCC11266866,1600.002.01,2023-01-03 15:24:38.0,null,'202301031447122711127255,N,
9293,COCC11266866,1600.002.01,2023-01-03 15:24:38.0,null,'202301031447122711127255,N,
9294,COCC11266867,1600.002.01,2023-01-03 15:50:45.0,null,'202301031447162711127576,Y,
9295,COCC11266869,1600.002.01,2023-01-03 15:45:34.0,null,'202301031449102711132125,N,
9296,Y100134171,1600,2023-01-03 15:06:43.0,null,'202301031445142711122987,N,
9297,COCC11266872,1600.002.01,2023-01-03 15:31:56.0,null,'202301031449132711132490,N,
9298,COCC11266872,1600.002.01,2023-01-03 15:31:56.0,null,'202301031449132711132490,N,
9299,COCC11266873,1600.002.01,2023-01-03 15:39:46.0,null,'202301031451062711144495,Y,
9300,COCC11266874,1600.002.01,2023-01-03 16:30:49.0,null,'202301031449142711132521,Y,
9301,COCC11266874,1600.002.01,2023-01-03 16:30:49.0,null,'202301031449142711132521,Y,
9302,CO11408739,1600.002.01,2023-01-03 16:43:32.0,null,'202301031449082711131926,Y,
9303,CO11408739,1600.002.01,2023-01-03 16:43:32.0,null,'202301031449082711131926,Y,
9304,CO11408668,9000,2023-01-03 14:57:53.0,null,'202301031449082711132019,Y,
