data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
129105,CO11245426,1600.002.01,2022-09-27 12:57:33.0,null,'202209271118022166845654,Y,
129106,CO11245427,9000,2022-09-27 12:20:48.0,null,'202209271128022166851932,N,
129107,CO11245427,1600.002.01,2022-09-27 13:01:55.0,null,'202209271224512166950451,N,
129108,CO11245530,1600.002.01,2022-09-27 12:08:13.0,null,'202209271128022166851949,Y,
129109,CO11245428,1600.002.01,2022-09-27 12:49:11.0,null,'202209271133512166859849,N,
129110,CO11245428,1600.002.01,2022-09-27 12:49:11.0,null,'202209271133512166859849,N,
129111,CO11245531,1600.002.01,2022-09-27 12:54:43.0,null,'202209271135552166861625,Y,
129112,CO11245532,1600.002.01,2022-09-27 13:39:15.0,null,'202209271139552166865827,Y,
129113,CO11245532,1600.002.01,2022-09-27 13:39:15.0,null,'202209271139552166865827,Y,
129114,CO11245430,1600.002.01,2022-09-27 11:59:22.0,null,'202209271139552166865852,N,
129115,COCC11014672,1600.002.01,2022-09-27 12:51:09.0,null,'202209271148512166876935,Y,
129116,COCC11014674,1600.002.01,2022-09-27 13:07:34.0,null,'202209271154362166886646,Y,
129117,CO11245432,9000,2022-09-27 11:55:51.0,null,'202209271154362166886608,Y,
129118,CO11245432,9000,2022-09-27 11:55:51.0,null,'202209271154362166886608,Y,
129119,CO11245432,9000,2022-09-27 11:55:51.0,null,'202209271154362166886608,Y,
129120,CO11245432,9000,2022-09-27 11:55:51.0,null,'202209271154362166886608,Y,
129121,CO11245432,1600.002.01,2022-09-27 13:20:44.0,null,'202209271158122166890430,N,
129122,CO11245432,1600.002.01,2022-09-27 13:20:44.0,null,'202209271158122166890430,N,
129123,CO11245432,1600.002.01,2022-09-27 13:20:44.0,null,'202209271158122166890430,N,
129124,CO11245432,1600.002.01,2022-09-27 13:20:44.0,null,'202209271158122166890430,N,
129125,CO11245534,1600.002.01,2022-09-27 12:34:30.0,null,'202209271156312166888839,Y,
129126,CO11245533,1600.002.01,2022-09-27 12:22:46.0,null,'202209271156322166888881,Y,
129127,CO11245433,1600.002.01,2022-09-27 12:26:52.0,null,'202209271156322166888902,Y,
129128,CO11245433,1600.002.01,2022-09-27 12:26:52.0,null,'202209271156322166888902,Y,
129129,CO11245434,9000,2022-09-27 12:03:20.0,null,'202209271158122166890499,N,
129130,CO11245434,9000,2022-09-27 12:03:20.0,null,'202209271158122166890499,N,
129131,CO11245434,9000,2022-09-27 12:03:20.0,null,'202209271158122166890499,N,
129132,CO11245434,1600.002.01,2022-09-27 13:50:13.0,null,'202209271204572166908771,N,
129133,CO11245434,1600.002.01,2022-09-27 13:50:13.0,null,'202209271204572166908771,N,
129134,CO11245434,1600.002.01,2022-09-27 13:50:13.0,null,'202209271204572166908771,N,
129135,COCC11014677,1600.002.01,2022-09-27 13:01:16.0,null,'202209271204562166908745,Y,
129136,CO11245436,1600.002.01,2022-09-27 12:17:52.0,null,'202209271159452166893595,Y,
129137,CO11245436,1600.002.01,2022-09-27 12:17:52.0,null,'202209271159452166893595,Y,
129138,CO11245435,1600.002.01,2022-09-27 12:47:33.0,null,'202209271159452166893619,Y,
129139,COCC11014680,1600.002.01,2022-09-27 13:09:54.0,null,'202209271206412166911826,N,
129140,COCC11014680,1600.002.01,2022-09-27 13:09:54.0,null,'202209271206412166911826,N,
129141,COCC11014681,1600.002.01,2022-09-27 13:43:26.0,null,'202209271212022166923946,N,
129142,COCC11014682,9000,2022-09-27 12:30:48.0,null,'202209271210022166916834,N,
129143,COCC11014682,9000,2022-09-27 12:30:48.0,null,'202209271210022166916834,N,
129144,COCC11014682,1600.002.01,2022-09-27 13:00:56.0,null,'202209271234522166976497,Y,
129145,COCC11014682,1600.002.01,2022-09-27 13:00:56.0,null,'202209271234522166976497,Y,
129146,COCC11014683,1600.002.01,2022-09-27 15:57:55.0,null,'202209271211032166922985,N,
129147,COCC11014683,1600.002.01,2022-09-27 15:57:55.0,null,'202209271211032166922985,N,
129148,COCC11014683,1600.002.01,2022-09-27 15:57:55.0,null,'202209271211032166922985,N,
129149,CO11245535,1600.002.01,2022-09-27 13:54:51.0,null,'202209271208072166914416,N,
129150,CO11245535,1600.002.01,2022-09-27 13:54:51.0,null,'202209271208072166914416,N,
129151,CO11245535,1600.002.01,2022-09-27 13:54:51.0,null,'202209271208072166914416,N,
129152,COCC11014685,1600.002.01,2022-09-27 16:33:44.0,null,'202209271219022166932659,N,
129153,COCC11014685,1600.002.01,2022-09-27 16:33:44.0,null,'202209271219022166932659,N,
129154,COCC11014686,1600.002.01,2022-09-27 13:13:08.0,null,'202209271216022166928768,N,
129155,COCC11014686,1600.002.01,2022-09-27 13:13:08.0,null,'202209271216022166928768,N,
129156,CO11245437,1600.002.01,2022-09-27 12:41:13.0,null,'202209271215032166927523,Y,
129157,COCC11014691,1600.002.01,2022-09-27 12:51:37.0,null,'202209271219032166932687,Y,
129158,COCC11014691,1600.002.01,2022-09-27 12:51:37.0,null,'202209271219032166932687,Y,
129159,COCC11014691,1600.002.01,2022-09-27 12:51:37.0,null,'202209271219032166932687,Y,
129160,COCC11014692,1600.002.01,2022-09-27 13:34:00.0,null,'202209271219022166932639,Y,
129161,CO11245536,1600.002.01,2022-09-27 12:39:45.0,null,'202209271218022166930725,N,
129162,CO11245536,1600.002.01,2022-09-27 12:39:45.0,null,'202209271218022166930725,N,
129163,CO11245438,1600.002.01,2022-09-27 13:32:58.0,null,'202209271218022166930700,Y,
129164,COCC11014693,1600.002.01,2022-09-27 12:45:21.0,null,'202209271223022166946540,Y,
129165,COCC11014694,1600.002.01,2022-09-27 14:27:35.0,null,'202209271223022166946517,Y,
129166,COCC11014698,9000,2022-09-27 12:37:37.0,null,'202209271228242166957108,Y,
129167,COCC11014698,9000,2022-09-27 12:37:37.0,null,'202209271228242166957108,Y,
129168,COCC11014698,9000,2022-09-27 12:37:37.0,null,'202209271228242166957108,Y,
129169,COCC11014698,9000,2022-09-27 12:37:37.0,null,'202209271228242166957108,Y,
129170,COCC11014698,9000,2022-09-27 12:37:37.0,null,'202209271228242166957108,Y,
129171,COCC11014698,1600.002.01,2022-09-27 13:29:19.0,null,'202209271238502166985608,N,
129172,COCC11014698,1600.002.01,2022-09-27 13:29:19.0,null,'202209271238502166985608,N,
129173,COCC11014698,1600.002.01,2022-09-27 13:29:19.0,null,'202209271238502166985608,N,
129174,COCC11014698,1600.002.01,2022-09-27 13:29:19.0,null,'202209271238502166985608,N,
129175,COCC11014698,1600.002.01,2022-09-27 13:29:19.0,null,'202209271238502166985608,N,
129176,CO11245441,1600.002.01,2022-09-27 13:23:48.0,null,'202209271223022166946564,Y,
129177,CO11245441,1600.002.01,2022-09-27 13:23:48.0,null,'202209271223022166946564,Y,
129178,CO11245440,1600.002,2022-09-27 18:38:15.0,null,'202209271223032166946593,Y,
129179,CO11245440,1600.002,2022-09-27 18:38:15.0,null,'202209271223032166946593,Y,
129180,COCC11014702,1600.002.01,2022-09-27 13:31:05.0,null,'202209271230532166968051,Y,
129181,COCC11014702,1600.002.01,2022-09-27 13:31:05.0,null,'202209271230532166968051,Y,
129182,COCC11014703,1600.002.01,2022-09-27 13:18:01.0,null,'202209271229022166958524,N,
129183,COCC11014703,1600.002.01,2022-09-27 13:18:01.0,null,'202209271229022166958524,N,
129184,COCC11014707,1600.002.01,2022-09-27 13:20:26.0,null,'202209271228252166957172,Y,
129185,COCC11014708,1600.002.01,2022-09-27 13:13:36.0,null,'202209271236572166980755,N,
129186,COCC11014709,1600.002.01,2022-09-27 13:10:42.0,null,'202209271230542166968174,N,
129187,COCC11014709,1600.002.01,2022-09-27 13:10:42.0,null,'202209271230542166968174,N,
129188,COCC11014709,1600.002.01,2022-09-27 13:10:42.0,null,'202209271230542166968174,N,
129189,COCC11014711,1600.002.01,2022-09-27 13:25:49.0,null,'202209271230542166968236,Y,
129190,COCC11014713,1600.002.01,2022-09-27 13:01:36.0,null,'202209271232522166972360,N,
129191,COCC11014713,1600.002.01,2022-09-27 13:01:36.0,null,'202209271232522166972360,N,
129192,CO11245444,1600.002.01,2022-09-27 13:03:59.0,null,'202209271228252166957196,Y,
129193,CO11245444,1600.002.01,2022-09-27 13:03:59.0,null,'202209271228252166957196,Y,
129194,CO11245443,1600.002.01,2022-09-27 13:22:13.0,null,'202209271228252166957228,N,
129195,CO11245443,1600.002.01,2022-09-27 13:22:13.0,null,'202209271228252166957228,N,
129196,CO11245537,1600.002.01,2022-09-27 13:32:23.0,null,'202209271230542166968116,Y,
129197,CO11245537,1600.002.01,2022-09-27 13:32:23.0,null,'202209271230542166968116,Y,
129198,CO11245537,1600.002.01,2022-09-27 13:32:23.0,null,'202209271230542166968116,Y,
129199,COCC11014716,1600.002.01,2022-09-27 13:13:45.0,null,'202209271236572166980786,N,
129200,COCC11014716,1600.002.01,2022-09-27 13:13:45.0,null,'202209271236572166980786,N,
129201,COCC11014717,9000,2022-09-27 12:48:58.0,null,'202209271234532166976523,N,
129202,CO11245538,1600.002.01,2022-09-27 14:34:35.0,null,'202209271232532166972466,Y,
129203,COCC11014718,1600.002.01,2022-09-27 13:25:07.0,null,'202209271236582166980813,N,
129204,COCC11014719,1600.002.01,2022-09-27 13:34:34.0,null,'202209271238482166985443,N,
129205,CO11245539,1600.002.01,2022-09-28 14:30:26.0,null,'202209271234542166976632,N,
129206,CO11245539,1600.002.01,2022-09-28 14:30:26.0,null,'202209271234542166976632,N,
129207,CO11245539,1600.002.01,2022-09-28 14:30:26.0,null,'202209271234542166976632,N,
129208,COCC11014721,1600.002.01,2022-09-27 13:44:05.0,null,'202209271253342167020557,Y,
129209,COCC11014722,1600.002.01,2022-09-27 13:15:32.0,null,'202209271238492166985462,Y,
129210,COCC11014724,9000,2022-09-27 13:07:13.0,null,'202209271244552167002692,N,
129211,COCC11014724,9000,2022-09-27 13:07:13.0,null,'202209271244552167002692,N,
129212,CO11245540,1600.002.01,2022-09-27 13:24:13.0,null,'202209271240592166997047,Y,
129213,CO11245540,1600.002.01,2022-09-27 13:24:13.0,null,'202209271240592166997047,Y,
129214,COCC11014725,1600.002.01,2022-09-27 13:27:57.0,null,'202209271244542167002672,Y,
129215,CO11245445,1600.002.02,2022-09-27 15:06:11.0,null,'202209271242562166999235,N,
129216,COCC11014727,1600.002.01,2022-09-27 13:17:44.0,null,'202209271246562167006333,Y,
129217,CO11245542,1600.002.01,2022-09-27 13:30:01.0,null,'202209271244562167002809,Y,
129218,CO11245541,1600.002.01,2022-09-27 13:16:54.0,null,'202209271244562167002842,Y,
129219,COCC11014728,1600.002.01,2022-09-27 14:33:30.0,null,'202209271249472167009851,Y,
129220,COCC11014730,1600.002.01,2022-09-27 13:47:39.0,null,'202209271249492167009987,N,
129221,COCC11014730,1600.002.01,2022-09-27 13:47:39.0,null,'202209271249492167009987,N,
129222,COCC11014731,1600.002.01,2022-09-27 16:08:25.0,null,'202209271249472167009874,Y,
129223,COCC11014731,1600.002.01,2022-09-27 16:08:25.0,null,'202209271249472167009874,Y,
129224,COCC11014733,1600.002.02,2022-09-27 16:16:17.0,null,'202209271249492167010015,N,
129225,COCC11014735,9000,2022-09-27 12:58:51.0,null,'202209271251382167018018,N,
129226,COCC11014735,9000,2022-09-27 12:58:51.0,null,'202209271251382167018018,N,
129227,COCC11014735,9000,2022-09-27 13:01:16.0,null,'202209271300472167037299,N,
129228,COCC11014735,9000,2022-09-27 13:01:16.0,null,'202209271300472167037299,N,
129229,COCC11014736,1600.002.01,2022-09-27 13:53:51.0,null,'202209271303372167042418,Y,
129230,COCC11014736,1600.002.01,2022-09-27 13:53:51.0,null,'202209271303372167042418,Y,
129231,COCC11014736,1600.002.01,2022-09-27 13:53:51.0,null,'202209271303372167042418,Y,
129232,CO11245546,1600.002.01,2022-09-27 14:10:39.0,null,'202209271249502167010090,Y,
129233,CO11245546,1600.002.01,2022-09-27 14:10:39.0,null,'202209271249502167010090,Y,
129234,CO11245546,1600.002.01,2022-09-27 14:10:39.0,null,'202209271249502167010090,Y,
129235,CO11245546,1600.002.01,2022-09-27 14:10:39.0,null,'202209271249502167010090,Y,
129236,CO11245546,1600.002.01,2022-09-27 14:10:39.0,null,'202209271249502167010090,Y,
129237,CO11245546,1600.002.01,2022-09-27 14:10:39.0,null,'202209271249502167010090,Y,
129238,CO11245446,1600.002.01,2022-09-27 13:33:15.0,null,'202209271249492167010039,Y,
129239,CO11245544,1600.002.01,2022-09-27 13:46:15.0,null,'202209271249492167010064,Y,
129240,COCC11014737,1600.002.01,2022-09-27 16:20:58.0,null,'202209271406542167192469,Y,
129241,COCC11014738,1600.002.01,2022-09-27 14:02:02.0,null,'202209271316032167069325,Y,
129242,COCC11014738,1600.002.01,2022-09-27 14:02:02.0,null,'202209271316032167069325,Y,
129243,COCC11014738,1600.002.01,2022-09-27 14:02:02.0,null,'202209271316032167069325,Y,
129244,COCC11014738,1600.002.01,2022-09-27 14:02:02.0,null,'202209271316032167069325,Y,
129245,COCC11014738,1600.002.01,2022-09-27 14:02:02.0,null,'202209271316032167069325,Y,
129246,COCC11014738,1600.002.01,2022-09-27 14:02:02.0,null,'202209271316032167069325,Y,
129247,COCC11014738,1600.002.01,2022-09-27 14:02:02.0,null,'202209271316032167069325,Y,
129248,COCC11014738,1600.002.01,2022-09-27 14:02:02.0,null,'202209271316032167069325,Y,
129249,COCC11014743,1600.002.01,2022-09-27 13:43:46.0,null,'202209271257282167024556,N,
129250,COCC11014743,1600.002.01,2022-09-27 13:43:46.0,null,'202209271257282167024556,N,
129251,CO11245447,1600.002.01,2022-09-27 13:12:03.0,null,'202209271258032167025298,Y,
129252,COCC11014747,1600.002.01,2022-09-27 13:54:25.0,null,'202209271302222167040817,N,
129253,COCC11014747,1600.002.01,2022-09-27 13:54:25.0,null,'202209271302222167040817,N,
129254,COCC11014748,1600.002.01,2022-09-27 14:00:14.0,null,'202209271303362167042366,N,
129255,COCC11014748,1600.002.01,2022-09-27 14:00:14.0,null,'202209271303362167042366,N,
129256,COCC11014748,1600.002.01,2022-09-27 14:00:14.0,null,'202209271303362167042366,N,
129257,COCC11014750,1600.002.01,2022-09-27 13:41:00.0,null,'202209271303362167042339,N,
129258,COCC11014750,1600.002.01,2022-09-27 13:41:00.0,null,'202209271303362167042339,N,
129259,COCC11014752,1600.002.01,2022-09-27 14:20:05.0,null,'202209271305522167046082,N,
129260,COCC11014752,1600.002.01,2022-09-27 14:20:05.0,null,'202209271305522167046082,N,
129261,COCC11014752,1600.002.01,2022-09-27 14:20:05.0,null,'202209271305522167046082,N,
