data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
100001,CO11280792,1600.002,2022-10-20 22:29:45.0,null,'202210192004052269854627,Y,
100002,CO11280791,1600.002.01,2022-10-19 20:55:55.0,null,'202210192004052269854660,Y,
100003,CO11280791,1600.002.01,2022-10-19 20:55:55.0,null,'202210192004052269854660,Y,
100004,CO11280790,1600.002.01,2022-10-19 22:46:48.0,null,'202210192004062269854702,Y,
100005,COCC11072563,1600.002.01,2022-10-19 21:32:49.0,null,'202210192006142269859685,Y,
100006,COCC11072565,1600.002.01,2022-10-19 20:49:02.0,null,'202210192014152269890959,Y,
100007,COCC11072565,1600.002.01,2022-10-19 20:49:02.0,null,'202210192014152269890959,Y,
100008,COCC11072566,1600.002.01,2022-10-19 20:52:11.0,null,'202210192008152269866099,Y,
100009,COCC11072566,1600.002.01,2022-10-19 20:52:11.0,null,'202210192008152269866099,Y,
100010,COCC11072566,1600.002.01,2022-10-19 20:52:11.0,null,'202210192008152269866099,Y,
100011,COCC11072567,1600.002.01,2022-10-19 22:24:16.0,null,'202210192006112269859236,N,
100012,COCC11072568,1600.002.01,2022-10-19 21:06:45.0,null,'202210192010132269874653,Y,
100013,COCC11072568,1600.002.01,2022-10-19 21:06:45.0,null,'202210192010132269874653,Y,
100014,COCC11072569,1600.002.01,2022-10-19 20:46:55.0,null,'202210192022102269918002,Y,
100015,COCC11072569,1600.002.01,2022-10-19 20:46:55.0,null,'202210192022102269918002,Y,
100016,CO11280797,1600.002.01,2022-10-19 21:11:00.0,null,'202210192006112269859286,Y,
100017,CO11280890,1600.002.01,2022-10-19 20:33:45.0,null,'202210192006122269859326,Y,
100018,CO11280890,1600.002.01,2022-10-19 20:33:45.0,null,'202210192006122269859326,Y,
100019,CO11280890,1600.002.01,2022-10-19 20:33:45.0,null,'202210192006122269859326,Y,
100020,CO11280796,1600.002.01,2022-10-19 20:43:31.0,null,'202210192006122269859365,Y,
100021,CO11280889,1600.002.01,2022-10-19 20:50:57.0,null,'202210192006122269859396,N,
100022,CO11280889,1600.002.01,2022-10-19 20:50:57.0,null,'202210192006122269859396,N,
100023,CO11280889,1600.002.01,2022-10-19 20:50:57.0,null,'202210192006122269859396,N,
100024,CO11280889,1600.002.01,2022-10-19 20:50:57.0,null,'202210192006122269859396,N,
100025,CO11280888,1600.002.01,2022-10-20 12:26:20.0,null,'202210192006132269859445,N,
100026,CO11280888,1600.002.01,2022-10-20 12:26:20.0,null,'202210192006132269859445,N,
100027,CO11280888,1600.002.01,2022-10-20 12:26:20.0,null,'202210192006132269859445,N,
100028,CO11280888,1600.002.01,2022-10-20 12:26:20.0,null,'202210192006132269859445,N,
100029,CO11280793,1600.002.02,2022-10-19 22:07:23.0,null,'202210192006132269859493,Y,
100030,COCC11072572,1600.002.01,2022-10-19 20:49:41.0,null,'202210192014122269890457,N,
100031,COCC11072572,1600.002.01,2022-10-19 20:49:41.0,null,'202210192014122269890457,N,
100032,COCC11072573,1600.002.01,2022-10-19 21:09:26.0,null,'202210192006142269859660,N,
100033,COCC11072574,1600.002.01,2022-10-19 22:06:40.0,null,'202210192008162269866259,Y,
100034,COCC11072577,1600.002.02,2022-10-19 22:23:59.0,null,'202210192010122269874608,Y,
100035,COCC11072578,1600.002.01,2022-10-19 21:13:40.0,null,'202210192010122269874517,Y,
100036,COCC11072578,1600.002.01,2022-10-19 21:13:40.0,null,'202210192010122269874517,Y,
100037,COCC11072578,1600.002.01,2022-10-19 21:13:40.0,null,'202210192010122269874517,Y,
100038,COCC11072580,9000,2022-10-19 23:53:51.0,null,'202210192008172269866356,Y,
100039,COCC11072581,1600.002.01,2022-10-19 20:57:35.0,null,'202210192026162269928751,N,
100040,COCC11072583,1600.002.01,2022-10-19 21:11:14.0,null,'202210192016142269897503,N,
100041,COCC11072583,1600.002.01,2022-10-19 21:11:14.0,null,'202210192016142269897503,N,
100042,COCC11072583,1600.002.01,2022-10-19 21:11:14.0,null,'202210192016142269897503,N,
100043,COCC11072585,1600.002.01,2022-10-19 20:49:24.0,null,'202210192014112269890355,Y,
100044,COCC11072585,1600.002.01,2022-10-19 20:49:24.0,null,'202210192014112269890355,Y,
100045,COCC11072585,1600.002.01,2022-10-19 20:49:24.0,null,'202210192014112269890355,Y,
100046,COCC11072586,1600.002.01,2022-10-19 21:16:49.0,null,'202210192010112269874478,N,
100047,COCC11072587,1600.002.01,2022-10-19 21:43:57.0,null,'202210192010132269874695,N,
100048,COCC11072588,1600.002.01,2022-10-19 22:06:12.0,null,'202210192012132269884801,Y,
100049,COCC11072589,9000,2022-10-20 00:48:36.0,null,'202210192012112269884610,Y,
100050,COCC11072589,9000,2022-10-20 00:48:36.0,null,'202210192012112269884610,Y,
100051,COCC11072589,9000,2022-10-20 00:48:36.0,null,'202210192012112269884610,Y,
100052,CO11280806,1600.002.01,2022-10-19 21:06:32.0,null,'202210192008172269866390,Y,
100053,CO11280799,1600.002.01,2022-10-19 21:20:51.0,null,'202210192008172269866418,Y,
100054,CO11280798,1600.002.01,2022-10-20 12:29:26.0,null,'202210192008182269866536,Y,
100055,CO11280798,1600.002.01,2022-10-20 12:29:26.0,null,'202210192008182269866536,Y,
100056,CO11280798,1600.002.01,2022-10-20 12:29:26.0,null,'202210192008182269866536,Y,
100057,CO11280798,1600.002.01,2022-10-20 12:29:26.0,null,'202210192008182269866536,Y,
100058,CO11280809,1600.002.01,2022-10-19 22:19:48.0,null,'202210192008182269866457,N,
100059,CO11280808,1600.002.01,2022-10-19 22:15:56.0,null,'202210192008182269866488,Y,
100060,COCC11072590,1600.002.01,2022-10-19 20:42:30.0,null,'202210192012122269884718,Y,
100061,COCC11072590,1600.002.01,2022-10-19 20:42:30.0,null,'202210192012122269884718,Y,
