data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
1,COCC11026595,1600.002.02,2022-10-01 01:33:19.0,null,'202210010004532183636413,Y,
2,COCC11026597,1600.002.01,2022-10-01 01:46:07.0,null,'202210010028582183688512,Y,
3,COCC11026597,1600.002.01,2022-10-01 01:46:07.0,null,'202210010028582183688512,Y,
4,COCC11026597,1600.002.01,2022-10-01 01:46:07.0,null,'202210010028582183688512,Y,
5,COCC11026599,1600.002.01,2022-10-01 01:25:43.0,null,'202210010006562183639784,Y,
6,COCC11026600,1600.002.01,2022-10-01 03:10:00.0,null,'202210010004542183636624,Y,
7,CO11252750,1600.002.02,2022-10-01 02:06:51.0,null,'202210010003062183630211,Y,
8,CO11252750,1600.002.02,2022-10-01 02:06:51.0,null,'202210010003062183630211,Y,
9,CO11252669,1600.002.01,2022-10-01 00:44:15.0,null,'202210010003072183630321,Y,
10,CO11252669,1600.002.01,2022-10-01 00:44:15.0,null,'202210010003072183630321,Y,
11,CO11252669,1600.002.01,2022-10-01 00:44:15.0,null,'202210010003072183630321,Y,
12,CO11252669,1600.002.01,2022-10-01 00:44:15.0,null,'202210010003072183630321,Y,
13,CO11252668,1600.002,2022-10-01 21:23:40.0,null,'202210010003072183630258,N,
14,CO11252746,1600.002.01,2022-10-01 00:36:29.0,null,'202210010003072183630289,N,
15,CO11252666,1600.002.01,2022-10-01 01:00:51.0,null,'202210010003082183630372,Y,
16,COCC11026601,1600.002.01,2022-10-01 02:09:51.0,null,'202210010006572183639874,Y,
17,COCC11026602,1600.002.01,2022-10-01 01:16:26.0,null,'202210010010182183647789,Y,
18,COCC11026602,1600.002.01,2022-10-01 01:16:26.0,null,'202210010010182183647789,Y,
19,COCC11026603,1600.002.01,2022-10-01 02:00:49.0,null,'202210010006562183639803,Y,
20,COCC11026605,1600.002.01,2022-10-01 01:26:07.0,null,'202210010006572183639849,N,
21,COCC11026605,1600.002.01,2022-10-01 01:26:07.0,null,'202210010006572183639849,N,
22,CO11252752,9000,2022-10-01 09:18:32.0,null,'202210010004542183636536,Y,
23,CO11252752,9000,2022-10-01 09:18:32.0,null,'202210010004542183636536,Y,
24,CO11252752,9000,2022-10-01 09:18:32.0,null,'202210010004542183636536,Y,
25,CO11252752,9000,2022-10-01 09:18:32.0,null,'202210010004542183636536,Y,
26,CO11252752,9000,2022-10-01 09:28:00.0,null,'202210010920462184630766,Y,
27,CO11252752,9000,2022-10-01 09:28:00.0,null,'202210010920462184630766,Y,
28,CO11252752,9000,2022-10-01 09:28:00.0,null,'202210010920462184630766,Y,
29,CO11252752,9000,2022-10-01 09:28:00.0,null,'202210010920462184630766,Y,
30,CO11252752,9000,2022-10-01 13:00:23.0,null,'202210011119562184680965,Y,
31,CO11252752,9000,2022-10-01 13:00:23.0,null,'202210011119562184680965,Y,
32,CO11252752,9000,2022-10-01 13:00:23.0,null,'202210011119562184680965,Y,
33,CO11252752,9000,2022-10-01 13:00:23.0,null,'202210011119562184680965,Y,
34,CO11252672,1600.002.01,2022-10-01 01:11:25.0,null,'202210010004542183636578,N,
35,CO11252672,1600.002.01,2022-10-01 01:11:25.0,null,'202210010004542183636578,N,
36,CO11252672,1600.002.01,2022-10-01 01:11:25.0,null,'202210010004542183636578,N,
37,CO11252672,1600.002.01,2022-10-01 01:11:25.0,null,'202210010004542183636578,N,
38,CO11252672,1600.002.01,2022-10-01 01:11:25.0,null,'202210010004542183636578,N,
39,COCC11026606,1600.002.01,2022-10-01 14:45:01.0,null,'202210010008592183643363,Y,
40,COCC11026608,1600.002.01,2022-10-01 03:39:10.0,null,'202210010010182183647741,Y,
41,COCC11026608,1600.002.01,2022-10-01 03:39:10.0,null,'202210010010182183647741,Y,
42,COCC11026608,1600.002.01,2022-10-01 03:39:10.0,null,'202210010010182183647741,Y,
43,COCC11026608,1600.002.01,2022-10-01 03:39:10.0,null,'202210010010182183647741,Y,
44,COCC11026608,1600.002.01,2022-10-01 03:39:10.0,null,'202210010010182183647741,Y,
45,COCC11026610,1600.002.01,2022-10-01 01:29:30.0,null,'202210010011472183653735,Y,
46,COCC11026610,1600.002.01,2022-10-01 01:29:30.0,null,'202210010011472183653735,Y,
47,Y100115165,1100,2022-10-06 19:28:41.0,null,'202210010005312183637732,N,
48,Y100115165,1100,2022-10-06 19:28:41.0,null,'202210010005312183637732,N,
49,Y100115165,1100,2022-10-06 19:28:41.0,null,'202210010005312183637732,N,
50,COCC11026611,1600.002.01,2022-10-01 01:09:27.0,null,'202210010013442183657448,N,
51,COCC11026611,1600.002.01,2022-10-01 01:09:27.0,null,'202210010013442183657448,N,
52,COCC11026612,1600.002.01,2022-10-01 01:10:45.0,null,'202210010011492183653990,N,
53,COCC11026613,1600.002.01,2022-10-01 00:37:58.0,null,'202210010011482183653934,N,
54,CO11252777,1600.002.01,2022-10-01 06:20:06.0,null,'202210010008572183643199,Y,
55,CO11252777,1600.002.01,2022-10-01 06:20:06.0,null,'202210010008572183643199,Y,
56,CO11252754,1600.002.01,2022-10-03 15:20:22.0,null,'202210010008582183643233,N,
57,CO11252674,1600.002.01,2022-10-01 01:00:43.0,null,'202210010008582183643267,Y,
58,CO11252779,1600.002.01,2022-10-01 14:14:27.0,null,'202210010008582183643286,Y,
59,CO11252755,1600.002,2022-10-01 21:28:53.0,null,'202210010008582183643306,Y,
60,CO11252755,1600.002,2022-10-01 21:28:53.0,null,'202210010008582183643306,Y,
61,CO11252753,1600.002.02,2022-10-01 01:44:29.0,null,'202210010008592183643332,Y,
62,CO11252753,1600.002.02,2022-10-01 01:44:29.0,null,'202210010008592183643332,Y,
63,COCC11026616,1600.002.01,2022-10-01 00:38:19.0,null,'202210010017332183663867,N,
64,COCC11026619,1600.002.01,2022-10-01 02:10:27.0,null,'202210010013472183657705,Y,
65,COCC11026619,1600.002.01,2022-10-01 02:10:27.0,null,'202210010013472183657705,Y,
66,COCC11026620,9000,2022-10-01 00:35:58.0,null,'202210010019422183667707,Y,
67,CO11252785,1600.002.01,2022-10-01 19:58:11.0,null,'202210010010192183647814,Y,
68,CO11252785,1600.002.01,2022-10-01 19:58:11.0,null,'202210010010192183647814,Y,
69,CO11252757,1600.002.01,2022-10-01 01:43:13.0,null,'202210010010192183647839,Y,
70,CO11252757,1600.002.01,2022-10-01 01:43:13.0,null,'202210010010192183647839,Y,
71,CO11252757,1600.002.01,2022-10-01 01:43:13.0,null,'202210010010192183647839,Y,
72,CO11252783,1600.002.01,2022-10-01 01:13:40.0,null,'202210010010192183647869,Y,
73,CO11252783,1600.002.01,2022-10-01 01:13:40.0,null,'202210010010192183647869,Y,
74,CO11252780,1600.002.01,2022-10-01 00:49:41.0,null,'202210010010202183647913,Y,
75,CO11252780,1600.002.01,2022-10-01 00:49:41.0,null,'202210010010202183647913,Y,
76,CO11252778,9000,2022-10-01 00:13:08.0,null,'202210010010202183647938,N,
77,CO11252778,9000,2022-10-01 00:13:08.0,null,'202210010010202183647938,N,
78,CO11252778,9000,2022-10-01 00:13:08.0,null,'202210010010202183647938,N,
79,CO11252778,1600.002.01,2022-10-01 15:04:59.0,null,'202210010015322183660592,N,
80,CO11252778,1600.002.01,2022-10-01 15:04:59.0,null,'202210010015322183660592,N,
81,CO11252778,1600.002.01,2022-10-01 15:04:59.0,null,'202210010015322183660592,N,
82,Y100115166,1100,2022-10-06 19:28:40.0,null,'202210010008492183642998,N,
83,COCC11026623,1600.002.01,2022-10-01 00:53:04.0,null,'202210010015322183660614,Y,
84,COCC11026624,1600.002.01,2022-10-01 01:13:11.0,null,'202210010019352183667027,N,
85,COCC11026625,1600.002.01,2022-10-01 01:18:19.0,null,'202210010019402183667476,Y,
86,COCC11026625,1600.002.01,2022-10-01 01:18:19.0,null,'202210010019402183667476,Y,
87,COCC11026625,1600.002.01,2022-10-01 01:18:19.0,null,'202210010019402183667476,Y,
88,COCC11026630,1600.002.01,2022-10-01 01:00:35.0,null,'202210010022462183678868,Y,
89,COCC11026630,1600.002.01,2022-10-01 01:00:35.0,null,'202210010022462183678868,Y,
90,Y100115167,1600,2022-10-01 00:14:14.0,null,'202210010011022183652776,N,
91,Y100115167,1600,2022-10-01 00:14:14.0,null,'202210010011022183652776,N,
92,COCC11026632,1600.002.01,2022-10-01 02:20:54.0,null,'202210010019442183668062,Y,
93,COCC11026632,1600.002.01,2022-10-01 02:20:54.0,null,'202210010019442183668062,Y,
94,COCC11026632,1600.002.01,2022-10-01 02:20:54.0,null,'202210010019442183668062,Y,
95,COCC11026632,1600.002.01,2022-10-01 02:20:54.0,null,'202210010019442183668062,Y,
96,COCC11026633,1600.002.01,2022-10-01 14:23:42.0,null,'202210010013462183657679,Y,
97,COCC11026634,1600.002.01,2022-10-01 13:57:04.0,null,'202210010019412183667592,Y,
98,COCC11026634,1600.002.01,2022-10-01 13:57:04.0,null,'202210010019412183667592,Y,
99,COCC11026634,1600.002.01,2022-10-01 13:57:04.0,null,'202210010019412183667592,Y,
100,COCC11026634,1600.002.01,2022-10-01 13:57:04.0,null,'202210010019412183667592,Y,
101,COCC11026634,1600.002.01,2022-10-01 13:57:04.0,null,'202210010019412183667592,Y,
102,COCC11026634,1600.002.01,2022-10-01 13:57:04.0,null,'202210010019412183667592,Y,
103,COCC11026635,1600.002.01,2022-10-01 00:44:33.0,null,'202210010015332183660637,Y,
104,CO11252788,9000,2022-10-01 00:16:59.0,null,'202210010013452183657481,Y,
105,CO11252788,9000,2022-10-01 00:16:59.0,null,'202210010013452183657481,Y,
106,CO11252788,9000,2022-10-01 00:16:59.0,null,'202210010013452183657481,Y,
107,CO11252788,1600.002.01,2022-10-01 02:57:42.0,null,'202210010127302183821745,N,
108,CO11252788,1600.002.01,2022-10-01 02:57:42.0,null,'202210010127302183821745,N,
109,CO11252788,1600.002.01,2022-10-01 02:57:42.0,null,'202210010127302183821745,N,
110,CO11252786,1600.002.01,2022-10-01 01:02:42.0,null,'202210010013452183657521,Y,
111,CO11252786,1600.002.01,2022-10-01 01:02:42.0,null,'202210010013452183657521,Y,
112,CO11252786,1600.002.01,2022-10-01 01:02:42.0,null,'202210010013452183657521,Y,
113,CO11252786,1600.002.01,2022-10-01 01:02:42.0,null,'202210010013452183657521,Y,
114,CO11252756,1600.002.01,2022-10-03 11:35:36.0,null,'202210010013452183657568,Y,
115,CO11252756,1600.002.01,2022-10-03 11:35:36.0,null,'202210010013452183657568,Y,
116,CO11252756,1600.002.01,2022-10-03 11:35:36.0,null,'202210010013452183657568,Y,
117,COCC11026637,1600.002.01,2022-10-01 21:19:38.0,null,'202210010019412183667666,N,
118,COCC11026638,1600.002.01,2022-10-01 01:20:19.0,null,'202210010019402183667455,Y,
119,COCC11026639,9000,2022-10-01 03:28:01.0,null,'202210010017332183663920,Y,
120,COCC11026640,1600.002.01,2022-10-01 17:05:41.0,null,'202210010019412183667511,Y,
121,COCC11026640,1600.002.01,2022-10-01 17:05:41.0,null,'202210010019412183667511,Y,
122,COCC11026640,1600.002.01,2022-10-01 17:05:41.0,null,'202210010019412183667511,Y,
123,COCC11026640,1600.002.01,2022-10-01 17:05:41.0,null,'202210010019412183667511,Y,
124,COCC11026640,1600.002.01,2022-10-01 17:05:41.0,null,'202210010019412183667511,Y,
125,COCC11026641,9000,2022-10-01 00:34:55.0,null,'202210010019422183667756,Y,
126,COCC11026642,1600.002.01,2022-10-01 01:41:42.0,null,'202210010019402183667430,Y,
127,COCC11026642,1600.002.01,2022-10-01 01:41:42.0,null,'202210010019402183667430,Y,
128,COCC11026644,1600.002.01,2022-10-01 01:50:43.0,null,'202210010022472183678925,N,
129,COCC11026644,1600.002.01,2022-10-01 01:50:43.0,null,'202210010022472183678925,N,
130,COCC11026645,1600.002.01,2022-10-01 03:03:28.0,null,'202210010021132183676679,Y,
131,COCC11026645,1600.002.01,2022-10-01 03:03:28.0,null,'202210010021132183676679,Y,
132,COCC11026645,1600.002.01,2022-10-01 03:03:28.0,null,'202210010021132183676679,Y,
133,CO11252795,1600.002.01,2022-10-01 12:31:49.0,null,'202210010015342183660809,Y,
134,CO11252795,1600.002.01,2022-10-01 12:31:49.0,null,'202210010015342183660809,Y,
135,CO11252795,1600.002.01,2022-10-01 12:31:49.0,null,'202210010015342183660809,Y,
136,CO11252795,1600.002.01,2022-10-01 12:31:49.0,null,'202210010015342183660809,Y,
137,CO11252795,1600.002.01,2022-10-01 12:31:49.0,null,'202210010015342183660809,Y,
138,CO11252795,1600.002.01,2022-10-01 12:31:49.0,null,'202210010015342183660809,Y,
139,CO11252794,9000,2022-10-01 01:52:39.0,null,'202210010015342183660779,Y,
140,CO11252794,9000,2022-10-01 01:52:39.0,null,'202210010015342183660779,Y,
141,CO11252762,1600.002.01,2022-10-01 03:00:27.0,null,'202210010015352183660884,Y,
142,CO11252762,1600.002.01,2022-10-01 03:00:27.0,null,'202210010015352183660884,Y,
143,CO11252762,1600.002.01,2022-10-01 03:00:27.0,null,'202210010015352183660884,Y,
144,CO11252762,1600.002.01,2022-10-01 03:00:27.0,null,'202210010015352183660884,Y,
145,CO11252760,1600.002.01,2022-10-01 01:07:21.0,null,'202210010015352183660944,Y,
146,CO11252760,1600.002.01,2022-10-01 01:07:21.0,null,'202210010015352183660944,Y,
147,CO11252759,1600.002.01,2022-10-01 13:28:26.0,null,'202210010015342183660858,N,
148,CO11252758,1600.002.01,2022-10-01 00:33:29.0,null,'202210010015352183660983,Y,
149,COCC11026646,1600.002.01,2022-10-01 02:37:49.0,null,'202210010017332183663940,Y,
150,Y100115168,1600,2022-10-01 00:35:01.0,null,'202210010014472183659315,N,
151,COCC11026652,1600.002.01,2022-10-02 13:28:26.0,null,'202210010024302183681762,Y,
152,COCC11026654,1600.002.01,2022-10-01 01:14:38.0,null,'202210010019422183667807,Y,
153,CO11252767,1600.002.01,2022-10-01 01:06:54.0,null,'202210010019352183667048,N,
154,CO11252767,1600.002.01,2022-10-01 01:06:54.0,null,'202210010019352183667048,N,
155,CO11252767,1600.002.01,2022-10-01 01:06:54.0,null,'202210010019352183667048,N,
156,CO11252796,1600.002.01,2022-10-01 00:56:58.0,null,'202210010019362183667080,Y,
157,CO11252796,1600.002.01,2022-10-01 00:56:58.0,null,'202210010019362183667080,Y,
158,CO11252764,1600.002.01,2022-10-01 01:06:24.0,null,'202210010019362183667106,N,
159,CO11252764,1600.002.01,2022-10-01 01:06:24.0,null,'202210010019362183667106,N,
160,CO11252793,1600.002.01,2022-10-01 01:59:31.0,null,'202210010019372183667153,Y,
161,CO11252793,1600.002.01,2022-10-01 01:59:31.0,null,'202210010019372183667153,Y,
