data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
75957,COCC11211623,9000,2022-12-12 16:07:00.0,null,'202212121605502603672113,Y,
75958,COCC11211623,9000,2022-12-12 16:07:00.0,null,'202212121605502603672113,Y,
75959,COCC11211623,9000,2022-12-12 16:07:00.0,null,'202212121605502603672113,Y,
75960,COCC11211627,1600.002.01,2022-12-12 17:12:38.0,null,'202212121609412603684699,N,
75961,COCC11211627,1600.002.01,2022-12-12 17:12:38.0,null,'202212121609412603684699,N,
75962,CO11372376,1600.002.01,2022-12-12 16:37:11.0,null,'202212121603522603666675,N,
75963,CO11372376,1600.002.01,2022-12-12 16:37:11.0,null,'202212121603522603666675,N,
75964,CO11372375,1600.002.01,2022-12-12 17:03:54.0,null,'202212121603532603666701,Y,
75965,CO11372281,1600.002.01,2022-12-12 16:29:59.0,null,'202212121603532603666720,N,
75966,CO11372281,1600.002.01,2022-12-12 16:29:59.0,null,'202212121603532603666720,N,
75967,Y100129534,1600,2022-12-12 22:16:49.0,null,'202212121602232603663158,N,
75968,COCC11211630,1600.002.01,2022-12-12 16:59:55.0,null,'202212121607422603677232,Y,
75969,COCC11211630,1600.002.01,2022-12-12 16:59:55.0,null,'202212121607422603677232,Y,
75970,COCC11211631,1600.002.01,2022-12-12 18:20:45.0,null,'202212121607422603677208,Y,
75971,COCC11211632,1600.002.01,2022-12-12 16:54:21.0,null,'202212121607442603677433,N,
75972,COCC11211632,1600.002.01,2022-12-12 16:54:21.0,null,'202212121607442603677433,N,
75973,COCC11211632,1600.002.01,2022-12-12 16:54:21.0,null,'202212121607442603677433,N,
75974,COCC11211633,1600.002.01,2022-12-12 23:43:52.0,null,'202212121607432603677388,N,
75975,COCC11211634,1600.002.01,2022-12-12 16:40:43.0,null,'202212121609412603684636,N,
75976,CO11372384,1600.002.01,2022-12-12 23:31:04.0,null,'202212121605492603671930,Y,
75977,CO11372377,1600.002.01,2022-12-12 16:36:59.0,null,'202212121605492603671999,Y,
75978,CO11372383,1600.002.01,2022-12-12 16:48:07.0,null,'202212121605502603672076,N,
75979,CO11372383,1600.002.01,2022-12-12 16:48:07.0,null,'202212121605502603672076,N,
75980,COCC11211639,1600.002.01,2022-12-12 19:11:33.0,null,'202212121607432603677351,Y,
75981,COCC11211641,1600.002.01,2022-12-12 16:59:04.0,null,'202212121607442603677501,Y,
75982,COCC11211643,1600.002.01,2022-12-12 16:50:39.0,null,'202212121612152603700700,Y,
75983,COCC11211643,1600.002.01,2022-12-12 16:50:39.0,null,'202212121612152603700700,Y,
75984,COCC11211644,1600.002.01,2022-12-12 18:35:26.0,null,'202212121615442603712775,Y,
75985,CO11372386,1600.002.01,2022-12-12 17:19:04.0,null,'202212121609392603684415,N,
75986,CO11372386,1600.002.01,2022-12-12 17:19:04.0,null,'202212121609392603684415,N,
75987,CO11372385,1600.002.01,2022-12-12 18:13:33.0,null,'202212121609402603684471,Y,
75988,CO11372387,1600.002.01,2022-12-12 16:52:05.0,null,'202212121609402603684534,Y,
75989,COCC11211647,1600.002.01,2022-12-12 17:16:43.0,null,'202212121615462603712959,N,
75990,COCC11211647,1600.002.01,2022-12-12 17:16:43.0,null,'202212121615462603712959,N,
75991,COCC11211652,1600.002.01,2022-12-12 17:11:43.0,null,'202212121611182603698519,Y,
75992,COCC11211652,1600.002.01,2022-12-12 17:11:43.0,null,'202212121611182603698519,Y,
75993,COCC11211653,1600.002.01,2022-12-12 18:04:41.0,null,'202212121613382603705341,Y,
75994,COCC11211653,1600.002.01,2022-12-12 18:04:41.0,null,'202212121613382603705341,Y,
