data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
70001,CO11317422,'202211111226332382084182,3350.1500.1000,2022-11-11 12:30:27.0,medina.natalia_m,medina.natalia_m,'202211111227452382089544,MU,COCV_881,medina.natalia_m,
70002,CO11317422,'202211111226332382084182,3700.1000,2022-11-11 13:37:20.0,medina.natalia_m,OMSRESTAPIUSER,'202211111227452382089544,MU,COCV_881,medina.natalia_m,
70003,CO11317422,'202211111226332382084182,3700.2000,2022-11-11 14:25:40.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211111227452382089544,MU,COCV_881,medina.natalia_m,
70004,CO11317423,'202211111236322382846704,3350.1000,2022-11-11 12:38:00.0,DifarmaConsolidateToShipmentAgentServer,medina.natalia_m,'202211111237592382933751,MU,COCV_881,medina.natalia_m,
70005,CO11317423,'202211111236322382846704,3350.1500,2022-11-11 12:39:26.0,medina.natalia_m,medina.natalia_m,'202211111237592382933751,MU,COCV_881,medina.natalia_m,
70006,CO11317423,'202211111236322382846704,3350.1500.1000,2022-11-11 12:39:26.0,medina.natalia_m,medina.natalia_m,'202211111237592382933751,MU,COCV_881,medina.natalia_m,
70007,CO11317423,'202211111236322382846704,3700.1000,2022-11-11 13:37:40.0,medina.natalia_m,OMSRESTAPIUSER,'202211111237592382933751,MU,COCV_881,medina.natalia_m,
70008,CO11317423,'202211111236322382846704,3700.2000,2022-11-11 14:37:19.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202211111237592382933751,MU,COCV_881,medina.natalia_m,
70009,CO11317424,'202211111236322382847189,3350.1000,2022-11-11 12:38:00.0,DifarmaConsolidateToShipmentAgentServer,escobar.diana_m,'202211111238002382933864,MU,COCV_577,escobar.diana_m,
70010,CO11317424,'202211111236322382847189,3350.1500,2022-11-11 12:58:04.0,escobar.diana_m,escobar.diana_m,'202211111238002382933864,MU,COCV_577,escobar.diana_m,
