data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
1,CO11352833,'202212010003412501508903,3350.1000,2022-12-01 00:05:10.0,DifarmaConsolidateToShipmentAgentServer,salamanca.jorge_m,'202212010005102501520096,MU,COCV_688,salamanca.jorge_m,
2,CO11352833,'202212010003412501508903,3350.1500,2022-12-01 00:08:12.0,salamanca.jorge_m,salamanca.jorge_m,'202212010005102501520096,MU,COCV_688,salamanca.jorge_m,
3,CO11352833,'202212010003412501508903,3350.1500.1000,2022-12-01 00:08:12.0,salamanca.jorge_m,osso.osmary_m,'202212010005102501520096,MU,COCV_688,salamanca.jorge_m,
4,CO11352833,'202212010003412501508903,3700.1000,2022-12-01 12:42:39.0,osso.osmary_m,OMSRESTAPIUSER,'202212010005102501520096,MU,COCV_688,salamanca.jorge_m,
5,CO11352833,'202212010003412501508903,3700.2000,2022-12-01 12:52:36.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202212010005102501520096,MU,COCV_688,salamanca.jorge_m,
6,CO11352835,'202212010001432501492224,3350.1000,2022-12-01 00:03:09.0,DifarmaConsolidateToShipmentAgentServer,solarte.diana_m,'202212010003092501504021,MU,COCV_816,solarte.diana_m,
7,CO11352835,'202212010001432501492224,3350.1500,2022-12-01 00:03:59.0,solarte.diana_m,solarte.diana_m,'202212010003092501504021,MU,COCV_816,solarte.diana_m,
8,CO11352835,'202212010001432501492224,3350.1500.1000,2022-12-01 00:04:00.0,solarte.diana_m,solarte.diana_m,'202212010003092501504021,MU,COCV_816,solarte.diana_m,
9,CO11352835,'202212010001432501492224,3700.1000,2022-12-01 00:26:02.0,solarte.diana_m,OMSRESTAPIUSER,'202212010003092501504021,MU,COCV_816,solarte.diana_m,
10,CO11352835,'202212010001432501492224,3700.2000,2022-12-01 00:49:58.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202212010003092501504021,MU,COCV_816,solarte.diana_m,
11,CO11352836,'202212010001422501492204,3350.1000,2022-12-01 00:03:09.0,DifarmaConsolidateToShipmentAgentServer,paez.monica_m,'202212010003092501504085,MU,COCV_101,paez.monica_m,
12,CO11352836,'202212010001422501492204,3350.1500,2022-12-01 00:05:08.0,paez.monica_m,paez.monica_m,'202212010003092501504085,MU,COCV_101,paez.monica_m,
13,CO11352836,'202212010001422501492204,3350.1500.1000,2022-12-01 00:05:09.0,paez.monica_m,paez.monica_m,'202212010003092501504085,MU,COCV_101,paez.monica_m,
14,CO11352836,'202212010001422501492204,3700.1000,2022-12-01 00:12:46.0,paez.monica_m,OMSRESTAPIUSER,'202212010003092501504085,MU,COCV_101,paez.monica_m,
15,CO11352836,'202212010001422501492204,3700.2000,2022-12-01 00:49:55.0,OMSRESTAPIUSER,OMSRESTAPIUSER,'202212010003092501504085,MU,COCV_101,paez.monica_m,
16,CO11352837,'202212010001422501492181,1400,2022-12-01 00:04:43.0,camacho.bryan_m,camacho.bryan_m,'202212010003082501503925,MU,COCV_262,camacho.bryan_m,
17,CO11352837,'202212010001422501492181,1400,2022-12-01 00:04:43.0,camacho.bryan_m,camacho.bryan_m,'202212010006082501525460,MU,COCV_411,ramirez.yaira_m,
18,CO11352837,'202212010001422501492181,1400,2022-12-01 00:04:44.0,camacho.bryan_m,camacho.bryan_m,'202212010003082501503925,MU,COCV_262,camacho.bryan_m,
